name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Flamingo Restaurant & Lounge,"85-12 Roosevelt Ave., Jackson Heights, Queens, New York 11372",Jackson Heights,Queens,Restaurants,Bars/Cocktails,Celebrate World Cup 2026 at this restaurant and cocktail lounge in Queens with a choice of five $26 specials.,Limited Edition Cup; $26 Offers,,http://www.flamingorestaurantandlounge.com,https://www.nyctourism.com/offers/fbws-flamingo-restaurant-and-lounge-jackson-heights,,fbws
Himalayan Yak,"72-20 Roosevelt Avenue, Jackson Heights, NY, 11372",Jackson Heights,Queens,Restaurants,Asian Fusion,"Celebrate the World Cup with a $26 meal offer, and receive a limited edition commemorative cup with eligible purchase.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-himalayan-yak-restaurant,,fbws
Kabu Bar Lounge,,Jackson Heights,Queens,Bar,,,,Colombia; Ecuador; Mexico,,,https://watchworldcup.nyc/venues/kabu-bar-lounge,wwc
La Chibcha,,Jackson Heights,Queens,Restaurant,,,,Colombia,,,https://watchworldcup.nyc/venues/la-chibcha,wwc
La Gran Uruguaya Bakery & Restaurant,,Jackson Heights,Queens,Bar,,,,Uruguay; Ecuador; Argentina,,,https://watchworldcup.nyc/venues/la-gran-uruguaya-bakery-restaurant,wwc
La Pequena Colombia,,Jackson Heights,Queens,Restaurant,,,,Colombia,,,https://watchworldcup.nyc/venues/la-peque-a-colombia,wwc
La Pollera Colorada II,,Jackson Heights,Queens,Restaurant,,,,Colombia,,,https://watchworldcup.nyc/venues/la-pollera-colorada-ii,wwc
Legends Tavern & Grill,,Jackson Heights,Queens,Bar,,,,,,,https://watchworldcup.nyc/venues/legends-tavern-grill,wwc
Leo’s Restaurant & Sports Bar,"19 Roosevelt Ave., Jackson Heights, Queens, NY 11372",Jackson Heights,Queens,Restaurants,Colombian,Leo's is offering a World Cup special of frozen margarita and Leo's burger all for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-leos-restaurant-and-sports-bar,,fbws
Lima,"8507 Northern Blvd., Jackson Heights, NY, 11372",Jackson Heights,Queens,Restaurants,Peruvian,Receive a limited-edition commemorative cup with the purchase of a super-size margarita during World Cup matches.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-lima,,fbws
Pollos A La Brasa Mario,"83-02 37th Ave., Queens, NY, 11372",Jackson Heights,Queens,Restaurants,Colombian; Latin American,Enjoy a signature Colombian dish with drink for $26 and receive a limited-edition commemorative souvenir cup.,Limited Edition Cup; $26 Offers,Colombia,,https://www.nyctourism.com/offers/fbws-pollos-a-la-brasa-mario,https://watchworldcup.nyc/venues/pollos-a-la-brasa-mario,fbws+wwc
Riazor Blues,,Jackson Heights,Queens,Restaurant,,,,Spain,,,https://watchworldcup.nyc/venues/riazor-blues,wwc
Riko,"78-14 Roosevelt Ave., Jackson Heights, Queens, NY 11372",Jackson Heights,Queens,Restaurants,Peruvian,Get a free commemorative cup with eligible purchases at this Peruvian restaurant during World Cup 2026.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-riko-jackson-heights,,fbws
The Queensboro,"80-02 Northern Blvd., New York, NY, 11372",Jackson Heights,Queens,Restaurants,American (Traditional),"Enjoy the ultimate World Cup experience with a $26 combo, beer, collective cup and team-inspired eats.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-queensboro,,fbws
Tierras Colombianas,,Jackson Heights,Queens,Restaurant,,,,Colombia,,,https://watchworldcup.nyc/venues/tierras-colombianas,wwc
Cañas Restaurant and Bar,,Jamaica,Queens,Restaurants,Latin American,Enjoy a $26 Latin cuisine during the World Cup Games.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-cañas-restaurant-and-bar,,fbws
O Lavrador,,Jamaica,Queens,Restaurant,,,,Portugal,,,https://watchworldcup.nyc/venues/o-lavrador,wwc
Para Ti Colombia Con Sabor Restaurant Bar,"New York, NY",Jamaica,Queens,Restaurants,Colombian,Enjoy a combo of tostones and guacamole with chicharron bites and a margarita for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-para-ti-colombia-con-sabor-restaurant-bar,,fbws
Resorts World Casino New York City,"110-00 Rockaway Blvd., Queens, NY, 11420",Jamaica,Queens,Restaurants,Steakhouse,Receive a limited-edition World Cup commemorative cup with an eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-resorts-world-casino-new-york-city,,fbws
Riko Peruvian Cuisine,"New York, NY",Jamaica,Queens,Restaurants,Peruvian,Get a limited-edition cup when you spend $20 at this Peruvian restaurant during World Cup 2026.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-riko-peruvian-cuisine-jamaica,,fbws
Rincon Salvadoreno,,Jamaica,Queens,Restaurant,,,,Ecuador,,,https://watchworldcup.nyc/venues/rincon-salvadore-o,wwc
Taco Bell,"New York, NY",Jamaica,Queens,Restaurants,Mexican,Orders of $26 of more can receive a limited-edition free collectible cup.,$26 Offers; Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-taco-bell-40319,,fbws
The Layover,"New York, NY",Jamaica,Queens,Restaurants,American (Traditional),Receive a World Cup 2026 limited-edition cup with an eligible purchase and see the games while you wait for your flight.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-marriott-jfk,,fbws
The Nourish Spot,"107-05 Guy R. Brewer Blvd., Queens, NY, 11433",Jamaica,Queens,Restaurants,American (Traditional),Receive a limited-edition World Cup commemorative cup with an eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-nourish-spot,,fbws
The Quimby,"Marriott New York JFK Airport, 135-25 142nd St.,Queens,11436,NY",Jamaica,Queens,Restaurants,American (New),Receive a limited-edition NYC borough collectible cup with the purchase of any food or beverage item.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-quimby,,fbws
The TWA Hotel,"John F. Kennedy International Airport, Queens, NY, 11430",Jamaica,Queens,Restaurants,,"Choose a savory crêpe, a drink, and a small ice cream for $26.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-twa-hotel,,fbws
Hangar 11,"New York, NY",Kew Gardens,Queens,Restaurants,American (New),Enjoy all you can drink beer deals at this bar in Queens throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://hangar11nyc.com,https://www.nyctourism.com/offers/fbws-hangar-11,,fbws
Kew Gardens Chicken,"New York, NY",Kew Gardens,Queens,Restaurants,Greek,Kew Gardens Chicken restaurant is offering $26 whole chicken specials throughout World Cup 2026.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-kew-gardens-chicken,,fbws
Nabhya Restaurant,"New York, NY",Kew Gardens,Queens,Restaurants,Indian,Receive a World Cup limited-edition souvenir cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-nabhya-restaurant,,fbws
Paul Michael's Brick Oven Cafe,"New York, NY",Kew Gardens,Queens,Restaurants,Italian,Enjoy $26 meal deals at this Queens pizzeria in honor of World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.paulmichaelsbrickovencafe.com,https://www.nyctourism.com/offers/fbws-paul-michaels-brick-oven-cafe,,fbws
MSC Kangen Water,"New York, NY",Laurelton,Queens,Restaurants,Vegetarian,FIFA World Cup commemorative collectors cup with purchase!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-msc-kangen-water,,fbws
La Baraka,"255-09 Northern Blvd., Queens, NY, 11362",Little Neck,Queens,Restaurants,French,Receive a limited-edition commemorative souvenir cup with the purchase of a drink.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-la-baraka,,fbws
Aloft Long Island City Manhattan View Hotel,"27-45 Jackson Ave., Queens, NY, 11101",Long Island City,Queens,Restaurants,Bars/Cocktails,Receive a limited-edition World Cup commemorative cup with Aloft popcorn.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-aloft-long-island-city,,fbws
Bareburger Long Island City,"48-19 Vernon Blvd, Long Island City, New York, 11101",Long Island City,Queens,Restaurants,Burgers,"Enjoy 4 Bareburger's Smash Burgers and all-natural French Fries for $26 (regular price $33), and receive a free souvenir cup!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-bareburger-long-island-city,,fbws
Boro Hotel New York,"38-28 27th St., New York, NY, 11101",Long Island City,Queens,Restaurants,Pizza,"Celebrate the World Cup with pizza and a drink for $26, and receive a limited-edition commemorative cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-boro-hotel-beebes-restaurant,,fbws
Corgi Jianbing,"4405 Hunter St, Long Island City, New York, 11101",Long Island City,Queens,Restaurants,Chinese,"Celebrate the World Cup with two signature jianbing and two drinks for $26, plus a commemorative cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-corgi-jianbing,,fbws
Courtyard by Marriott - Long Island City,"29-15 Queens Plaza N., Long Island City, Queens, NY 11101",Long Island City,Queens,Restaurants,American (Traditional),Nosh! restaurant is offering special game-day food offers through World Cup 2026.,$26 Offers,,https://www.marriott.com,https://www.nyctourism.com/offers/fbws-courtyard-by-marriott-long-island-city,,fbws
Dive Bar LIC,"33-10 36th Avenue, Long Island City, new york, 11106",Long Island City,Queens,Restaurants,Bars/Cocktails,Offering 2 Signature frozen Drinks for $26. Available in limited-edition souvenir cups while supplies last.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-dive-bar-lic,,fbws
Doughnut Plant - LIC,"31-00 47th Ave., Long Island City, Queens, NY 11101",Long Island City,Queens,Restaurants,American (Traditional),"Sample a ""Stack & Sip"" drink and doughnut combo at this iconic New York doughnut shop during World Cup 2026.",Limited Edition Cup; $26 Offers,,https://www.doughnutplant.com,https://www.nyctourism.com/offers/fbws-doughnut-plant-lic,,fbws
Dunhuang lic,"New York, NY",Long Island City,Queens,Restaurants,Chinese,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-dunhuang-lic,,fbws
Frank Ottomanelli's LIC,"New York, NY",Long Island City,Queens,Restaurants,Burgers,Purchase a drink and get the limited edition World Cup collectible cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-frank-ottomanellis-lic,,fbws
Hilton Garden Inn Long Island City,"New York, NY",Long Island City,Queens,Restaurants,American (New),Select guests will receive a limited-edition souvenir cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-hilton-garden-inn-long-island-city,,fbws
Hyatt Place Long Island City,"New York, NY",Long Island City,Queens,Restaurants,American (Traditional),Select guests joining us for the World Cup will receive a limited-edition souvenir cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-hyatt-place-long-island-city,,fbws
Jing Li,"27-35 Jackson Ave., Queens, NY, 11101",Long Island City,Queens,Restaurants,Chinese,Spend $75 or more dining in and receive a complimentary limited-edition World cup souvenir cup. One per table.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-jing-li,,fbws
Jora Restaurant and Bar,"New York, NY",Long Island City,Queens,Restaurants,Peruvian,"For $26, celebrate the World Cup with one Ceviche Clasico and a Pisco Chilcano served in a limited-edition cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-jora-restaurant-and-bar,,fbws
Kuku Korean Cuisine - LIC,"New York, NY",Long Island City,Queens,Restaurants,Korean,Enjoy $26 meal deals at this Korean restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://eatkuku.com,https://www.nyctourism.com/offers/fbws-kuku-korean-cuisine-lic,,fbws
LIC Bar,,Long Island City,Queens,Bar,,,,,,,https://watchworldcup.nyc/venues/lic-bar,wwc
Little Chef Little Cafe,"5-43 48th Ave., Queens, NY, 11101",Long Island City,Queens,Restaurants,Filipino,"Enjoy a four course meal for $26 at Little Chef Little Cafe, including a drink served in a special collectible cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-little-chef-little-cafe,,fbws
Lm Cafe,"New York, NY",Long Island City,Queens,Restaurants,American (Traditional),"Our Borough Bite Special (your choice of quesadilla, plus lemonade and mini cake) available for $26!",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-lm-cafe,,fbws
METTRA,"New York, NY",Long Island City,Queens,Restaurants,Asian Fusion,Get a World Cup commemorative cup at our food and drink vendors with a qualifying purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-mettra,,fbws
Mysttik Masaala,"New York, NY",Long Island City,Queens,Restaurants,Indian,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-mysttik-masaala,,fbws
Nagaiki Ramen at Mettra,"New York, NY",Long Island City,Queens,Restaurants,Japanese / Sushi,"Celebrate the World Cup with a $26 meal that includes one soba, one appetizer, and a draft beer or soft drink in a limited-edition cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-nagaiki-ramen,,fbws
Oh! Calcutta,"New York, NY",Long Island City,Queens,Restaurants,Indian,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-oh-calcutta,,fbws
Origin Cafe & Wine Bar,"New York, NY",Long Island City,Queens,Restaurants,Bars/Cocktails,Visit this Queens cafe for meal deals and free commemorative cup with eligible purchases.,Limited Edition Cup,,https://origincafelic.com,https://www.nyctourism.com/offers/fbws-origin-cafe-and-wine-bar,,fbws
Ottomanelli by the water,"New York, NY",Long Island City,Queens,Restaurants,American (Traditional),Two cheeseburgers and an order of Belgian fries for $26!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-ottomanelli-by-the-water,,fbws
Partake NYC,"New York, NY",Long Island City,Queens,Restaurants,Fusion,$26 will get you 1 cocktail and 1 appetizer of your choice!,$26 Offers,,,https://www.nyctourism.com/offers/fbws-partake-nyc,,fbws
Rockaway Brewing Company,"46-01 5th Street, New York, NY, 11101",Long Island City,Queens,Restaurants,Bars/Cocktails,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-rockaway-brewing-company,,fbws
Skinny's Cantina,"4705 Center Blvd., New York, NY, 11109",Long Island City,Queens,Restaurants,Mexican,Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-skinnys-cantina,,fbws
Soothr LIC,"New York, NY",Long Island City,Queens,Restaurants,Thai,"Celebrate the World Cup with fried chicken and beer, and receive a limited-edition souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-soothr-lic,,fbws
The Greats of Craft,"10-15 43rd Ave., Long Island City, NY, 11101",Long Island City,Queens,Restaurants,Bars/Cocktails,"Enjoy two hot dogs and a house beer of your choice for $26, and receive a limited-edition souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-greats-of-craft-lic,,fbws
The Local,"New York, NY",Long Island City,Queens,Restaurants,Bars/Cocktails,Receive a limited-edition World Cup commemorative cup with eligible drink special purchases.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-local,,fbws
The Local NY,"New York, NY",Long Island City,Queens,Restaurants,Bars/Cocktails,We'll show the games on our lobby big screen and will distribute limited edition cups to lucky patrons during game play.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-the-local-ny,,fbws
TownePlace Long Island City,"New York, NY",Long Island City,Queens,Restaurants,American (New),Select guests will receive a limited-edition souvenir cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-towneplace-long-island-city,,fbws
Trends LIC,"New York, NY",Long Island City,Queens,Restaurants,American (Traditional),Free souvenir cup with the purchase of 4 of our Ayrloom drinks or any of our beverage vendors.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-trends-lic,,fbws
Tropical Restaurant,"New York, NY",Long Island City,Queens,Restaurants,Latin American,Celebrate the World Cup with two courses and a drink for $26 and receive a limited-edition souvenir cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-tropical-restaurant-lic,https://watchworldcup.nyc/venues/tropical-restaurant-woodside,fbws+wwc
Benny's Cuban Cafe,"New York, NY",Ridgewood,Queens,Restaurants,Cuban,Score $26 meal deals at this Cuban diner in Queens during World Cup 2026.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-bennys-cuban-cafe,,fbws
Evil Twin Brewing,"Evil Twin Brewing, 1616 George Street, New York, NY, 11385",Ridgewood,Queens,Restaurants,Bars/Cocktails,Enjoy $26 beer pitches during World Cup matches and receive a complimentary souvenir cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-evil-twin-brewing,,fbws
Rudy’s Bakery and Cafe,"New York, NY",Ridgewood,Queens,Restaurants,German,This German American bakery in Queens is offering a limited-edition cup during the World Cup.,Limited Edition Cup,,http://www.rudysbakeryandcafe.com,https://www.nyctourism.com/offers/fbws-rudys-bakery-and-cafe,,fbws
Simple Peruvian,"58-08 Myrtle Ave., Ridgewood, Queens, NY 11385",Ridgewood,Queens,Restaurants,Peruvian,Get a sampler of Peruvian-Chinese food at this Ridgewood restaurant for $26 throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.simpleperuvian.com,https://www.nyctourism.com/offers/fbws-simple-peruvian-ridgewood,,fbws
The Flying Fox Tavern,"678 Woodward Ave, Ridgewood, NY, 11385",Ridgewood,Queens,Restaurants,Gastropub,Watch FIFA matches with our signature 8 oz Pat Lafrieda burger and select draft beers for just $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-flying-fox-tavern,,fbws
The Keep,,Ridgewood,Queens,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/the-keep,wwc
PopOut,"242-28 130ave, Rosedale, NY, 11422",Rosedale,Queens,Restaurants,Cajun/Creole,Receive a limited-edition World Cup commemorative cup with eligible purchase.,$26 Offers,,,https://www.nyctourism.com/offers/fbws-popout,,fbws
Bar 43,,Sunnyside,Queens,Bar,,,,Colombia; United States; Ecuador,,,https://watchworldcup.nyc/venues/bar-43,wwc
Cafe Shangrila,"42-15 Queens Blvd., Sunnyside, Queens, NY 11104",Sunnyside,Queens,Restaurants,Asian Fusion,Celebrate World Cup 2026 with meal deals at this Himalayan restaurant in Sunnyside.,Limited Edition Cup; $26 Offers,,https://www.cafeshangrilanyc.com,https://www.nyctourism.com/offers/fbws-cafe-shangrila,,fbws
Jack Quinns (Sunnyside),,Sunnyside,Queens,Bar,,,,United States,,,https://watchworldcup.nyc/venues/jack-quinns-sunnyside,wwc
Jack's Fire Department,,Sunnyside,Queens,Bar,,,,United States,,,https://watchworldcup.nyc/venues/jacks-fire-department,wwc
Jack’s Fire Dept,"46 Skillman Ave., Queens, NY 11104",Sunnyside,Queens,Restaurants,,Enjoy $26 meal deals at this bar throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.jacksfiredepartment.com,https://www.nyctourism.com/offers/fbws-jacks-fire-dept,,fbws
Rincon Melania,,Sunnyside,Queens,Restaurant,,,,Ecuador,,,https://watchworldcup.nyc/venues/rincon-melania,wwc
Simple Peruvian,"New York, NY",Sunnyside,Queens,Restaurants,Peruvian,Get a sampler of Peruvian-Chinese food at this Sunnyside restaurant for $26 throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.simpleperuvian.com,https://www.nyctourism.com/offers/fbws-simple-peruvian-sunnyside,,fbws
Pilot House Bar & Grill,"New York, NY",The Rockaways,Queens,Restaurants,American (Traditional),Watch any World Cup 2026 match at this sports bar for special meal and drink deals and souvenir cups.,Limited Edition Cup; $26 Offers,,https://www.pilothouserbny.com,https://www.nyctourism.com/offers/fbws-pilot-house-bar-and-grill,,fbws
Taco Bell,"New York, NY",The Rockaways,Queens,Restaurants,Mexican,Receive a limited-edition World Cup commemorative cup with eligible purchase.,$26 Offers; Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-taco-bell,,fbws
Tutto Calcio Espresso Bar,"New York, NY",Whitestone,Queens,Restaurants,Italian,Score a souvenir cup with eligible purchases at this Queens coffee shop throughout World Cup 2026.,Limited Edition Cup,,https://www.tuttocalciohospitality.com,https://www.nyctourism.com/offers/fbws-tutto-calcio-espresso-bar,,fbws
Go Natural,"New York, NY",Woodhaven,Queens,Restaurants,Juice Bar,Enjoy a World Cup Smoothie and receive a complimentary limited-edition 24 oz souvenir cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-go-natural,,fbws
Neir's Tavern,"87-48 78th St., Queens, NY, 11421",Woodhaven,Queens,Restaurants,,Enjoy Neir's $26 Strikers & Assists Combo and receive a limited-edition World Cup cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-neirs-tavern,,fbws
Tropical Restaurant - Woodhaven,"Tropical Restaurant - Woodhaven, 8818 Jamaica Ave., New York, NY, 11421",Woodhaven,Queens,Restaurants,Latin American,"Enjoy a prix fixe menu featuring a drink, starter and your choice of protein or tallarin.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-tropical-restaurant---woodhaven,,fbws
Donovan's Pub,"Donovan's Pub, 57-24 Roosevelt Ave., Queens, NY 11377",Woodside,Queens,Restaurants,American (Traditional),Enjoy special meal and beer deals at this Woodside Irish pub to celebrate World Cup 2026.,Limited Edition Cup; $26 Offers,United States,https://donovansny.com,https://www.nyctourism.com/offers/fbws-donovans-pub,https://watchworldcup.nyc/venues/donovans-pub,fbws+wwc
KhanTong Thai Kitchen,"New York, NY",Woodside,Queens,Restaurants,Thai,Get a commemorative cup with eligible purchases during World Cup games at this Thai restaurant.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-khantong-thai-kitchen,,fbws
Pollos Mario Woodside,"62-01 Woodside Ave., Queens, NY 11377",Woodside,Queens,Restaurants,Latin American,Enjoy a Colombian meal deal for $26 at this Woodside restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.pollosmariorestaurantwoodside.com,https://www.nyctourism.com/offers/fbws-pollos-mario-woodside,,fbws
Rico Pan Bakery,"58-13 Woodside Ave., Woodside, Queens, NY 11378",Woodside,Queens,Restaurants,Colombian,Enjoy $26 meal deals at this Colombian bakery throughout World Cup 2026.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-rico-pan-bakery,,fbws
Thai Money Restaurant,"49-08 43rd Ave., Woodside, Queens, NY 11377",Woodside,Queens,Restaurants,Thai,Snag a special meal and beer deal in honor of World Cup 2026 at this Thai restaurant.,Limited Edition Cup; $26 Offers,,https://thaimoneyrestaurant.com,https://www.nyctourism.com/offers/fbws-thai-money-restaurant,,fbws
The Brewery Bar & Kitchen,,Woodside,Queens,Bar,,,,United States,,,https://watchworldcup.nyc/venues/the-brewery-bar-kitchen,wwc
Tropical Restaurant,"67-22 Roosevelt Ave., Woodside, Queens, NY 11377",Woodside,Queens,Restaurants,Latin American,Enjoy a $26 meal deal at this Ecuadorian restaurant throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.tropicalrestaurants.nyc/,https://www.nyctourism.com/offers/fbws-tropical-restaurant-woodside,,fbws
Cka Ka Qellu,,Belmont,Bronx,Restaurant,,,,,,,https://watchworldcup.nyc/venues/cka-ka-qellu,wwc
Clinton Hall Bronx,,Belmont,Bronx,Beer Garden,,,,United States,,,https://watchworldcup.nyc/venues/clinton-hall-bronx,wwc
Joe's Italian Deli,"685 E. 187th St., The Bronx, NY, 10458",Belmont,The Bronx,Restaurants,Delicatessen; Sandwiches; Italian,"Get a free order of mozzarella with an order of a sandwich and chips or drink, and receive a free limited-edition commemorative souvenir cup.",Limited Edition Cup,,https://joesitaliandeli.com,https://www.nyctourism.com/offers/fbws-joe-s-italian-deli,,fbws
The Bronx Beer Hall,"2344 Arthur Ave. (inside Arthur Ave. Retail Market), Bronx, NY 10458",Belmont,The Bronx,Restaurants,American (New),Score a free souvenir cup with eligible beer purchases at this Bronx bar.,Limited Edition Cup,,https://www.thebronxbeerhall.com,https://www.nyctourism.com/offers/fbws-the-bronx-beer-hall,,fbws
Tino’s Delicatessen,"2410 Arthur Avenue, Bronx, NY, 10458",Belmont,The Bronx,Restaurants,Italian; Delicatessen,"For $26, get an individual brick oven Pizza Margherita, choice of bottled beer (free Bronx souvenir cup), and dessert (choice of homemade tiramisu, gelato imported from Italy or a freshly filled large cannoli).",Limited Edition Cup; $26 Offers,,http://www.tinosdeli.com,https://www.nyctourism.com/offers/fbws-tinos-deli,,fbws
Mario's Restaurant,,Belmont / Arthur Ave,Bronx,Restaurant,,,,,,,https://watchworldcup.nyc/venues/marios-restaurant,wwc
Barrio BX,"New York, NY",Castle Hill,The Bronx,Restaurants,Puerto Rican,Score a free commemorative cup with eligible drinks at this Puerto Rican restaurant during World Cup 2026.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-barrio-bx,,fbws
Bronx Draft House,,Concourse,Bronx,Bar,,,,,,,https://watchworldcup.nyc/venues/bronx-draft-house,wwc
Bronx Drafthouse,"884 Gerard Ave, Bronx, NY, 10452",Concourse,The Bronx,Restaurants,Bars/Cocktails,Enjoy a beer with your choice of a burger or chicken sandwich and receive a limited-edition World Cup commemorative cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-bronx-drafthouse,,fbws
NYNJ World Cup 26 Bronx Fan Zone,,Concourse,Bronx,fan_zone,,,,,,,https://watchworldcup.nyc/venues/nynj-wc26-bronx-fan-zone,wwc
Stan's Sports Bar,,Concourse,Bronx,Bar,,,,United States,,,https://watchworldcup.nyc/venues/stans-sports-bar,wwc
The Clubhouse Café,,Concourse,The Bronx,Restaurants,Coffeehouse,Kick off your day with coffee and a bite at the Clubhouse Cafe!,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-the-clubhouse-café,,fbws
Yankee Tavern,,Concourse,Bronx,Bar,,,,United States,,,https://watchworldcup.nyc/venues/yankee-tavern,wwc
Checkers - Fordham,"New York, NY",Fordham,The Bronx,Restaurants,Burgers,Receive a free limited-edition commemorative souvenir cup with orders over $26.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-checkers-fordham,,fbws
Papaye,,Fordham,Bronx,Restaurant,,,,Ghana,,,https://watchworldcup.nyc/venues/papaye,wwc
Checkers,"New York, NY",Highbridge,The Bronx,Restaurants,American (Traditional),Spend $26 on your order and get a free collectible souvenir cup!,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-checkers,,fbws
Bronx Alehouse,,Kingsbridge,Bronx,Bar,,,,United States,,,https://watchworldcup.nyc/venues/bronx-alehouse,wwc
The Bronx Public,"New York, NY",Kingsbridge Heights,The Bronx,Restaurants,American (Traditional),Visit this Bronx restaurant and bar for $26 meal deals throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.bronxpublic.com,https://www.nyctourism.com/offers/fbws-the-bronx-public,,fbws
Code Red Restaurant & Lounge,"1320 E. Gun Hill Rd., Bronx, NY, 10469",Laconia,The Bronx,Restaurants,Caribbean,Celebrate the World Cup with two courses and a drink for $26 and receive a limited-edition commemorative cup.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-code-red-restaurant-lounge,,fbws
Flava of the Bronx,,Melrose,Bronx,Bar,,,,,,,https://watchworldcup.nyc/venues/flava-of-the-bronx,wwc
Xochimilco Family Restaurant,,Melrose,Bronx,Restaurant,,,,Mexico,,,https://watchworldcup.nyc/venues/xochimilco-family-restaurant,wwc
