Venue Name,Type,Neighborhood,Borough/Area,Location,Fan Countries,Description,Venue URL
Ed & Mary's,Bar,Hamilton Park,Jersey City,"Hamilton Park, Jersey City",,"Bar in Hamilton Park, Jersey City; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/ed-marys
El Basurero,Restaurant,Astoria,Queens,"Astoria, Queens",Colombia,"Restaurant in Astoria, Queens; listed as a World Cup watch venue for fans of Colombia.",https://watchworldcup.nyc/venues/el-basurero
El Chivito d'Oro,Restaurant,Jackson Heights,Queens,"Jackson Heights, Queens",Uruguay,"Restaurant in Jackson Heights, Queens; listed as a World Cup watch venue for fans of Uruguay.",https://watchworldcup.nyc/venues/el-chivito-doro
El Cortez,Bar,East Williamsburg,Brooklyn,"East Williamsburg, Brooklyn",Mexico,"Bar in East Williamsburg, Brooklyn; listed as a World Cup watch venue for fans of Mexico.",https://watchworldcup.nyc/venues/el-cortez
El Encebollado de Victor,Restaurant,Bushwick,Brooklyn,"Bushwick, Brooklyn",Ecuador,"Restaurant in Bushwick, Brooklyn; listed as a World Cup watch venue for fans of Ecuador.",https://watchworldcup.nyc/venues/el-encebollado-de-victor
El Gauchito,Restaurant,Elmhurst,Queens,"Elmhurst, Queens",Argentina,"Restaurant in Elmhurst, Queens; listed as a World Cup watch venue for fans of Argentina.",https://watchworldcup.nyc/venues/el-gauchito
El Malecon,Restaurant,Riverdale,Bronx,"Riverdale, Bronx",,"Restaurant in Riverdale, Bronx; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/el-malecon
El Mate,Restaurant,Cobble Hill,Brooklyn,"Cobble Hill, Brooklyn",Argentina; Brazil,"Restaurant in Cobble Hill, Brooklyn; listed as a World Cup watch venue for fans of Argentina; Brazil.",https://watchworldcup.nyc/venues/el-mate
Failte Irish Pub,Bar,Kips Bay,Manhattan,"Kips Bay, Manhattan",England,"Bar in Kips Bay, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/failte-irish-pub
Fanatics Fest NYC x FIFA,Public Viewing,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan",,"Public Viewing in Hell's Kitchen, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/fanatics-fest-fifa
FancyFree,Bar,Fort Greene,Brooklyn,"Fort Greene, Brooklyn",England,"Bar in Fort Greene, Brooklyn; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/fancyfree
Farrell's Bar & Grill,Bar,Windsor Terrace,Brooklyn,"Windsor Terrace, Brooklyn",United States,"Bar in Windsor Terrace, Brooklyn; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/farrells-bar-grill
Favela Grill,Restaurant,Astoria,Queens,"Astoria, Queens",Brazil,"Restaurant in Astoria, Queens; listed as a World Cup watch venue for fans of Brazil.",https://watchworldcup.nyc/venues/favela-grill
Felix,Restaurant,SoHo,Manhattan,"SoHo, Manhattan",France,"Restaurant in SoHo, Manhattan; listed as a World Cup watch venue for fans of France.",https://watchworldcup.nyc/venues/felix-soho
Fiddlesticks Pub,Bar,West Village,Manhattan,"West Village, Manhattan",England,"Bar in West Village, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/fiddlesticks-pub
FIFA Fan Zone Queens,Public Viewing,Flushing,Queens,"Flushing, Queens",,"Public Viewing in Flushing, Queens; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/fifa-fan-zone-queens
Finnegan's Pub,Bar,Hoboken,Hoboken,"Hoboken, Hoboken",England,"Bar in Hoboken, Hoboken; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/finnegans-pub
Flag City: East Rutherford,Public Viewing,East Rutherford,New Jersey,"East Rutherford, New Jersey",,"Public Viewing in East Rutherford, New Jersey; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flag-city-east-rutherford
Flag City: Jersey City,Public Viewing,Jersey City,New Jersey,"Jersey City, New Jersey",,"Public Viewing in Jersey City, New Jersey; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flag-city-jersey-city
Flag City: Laurel Hill Park,Public Viewing,Secaucus,New Jersey,"Secaucus, New Jersey",,"Public Viewing in Secaucus, New Jersey; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flag-city-laurel-hill-park
Flag City: Newark,Public Viewing,Newark,New Jersey,"Newark, New Jersey",,"Public Viewing in Newark, New Jersey; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flag-city-newark
Flag City: Overpeck Park,Public Viewing,Bergen County,New Jersey,"Bergen County, New Jersey",,"Public Viewing in Bergen County, New Jersey; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flag-city-overpeck-park
Flannery's Bar,Bar,Chelsea,Manhattan,"Chelsea, Manhattan",,"Bar in Chelsea, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flannerys-bar
Flava of the Bronx,Bar,Melrose,Bronx,"Melrose, Bronx",,"Bar in Melrose, Bronx; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/flava-of-the-bronx
Foley's NY,Bar,Midtown,Manhattan,"Midtown, Manhattan",United States,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/foleys-ny
Football Factory at Legends,Bar,Midtown,Manhattan,"Midtown, Manhattan",United States; England; Argentina,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of United States; England; Argentina.",https://watchworldcup.nyc/venues/football-factory-at-legends
Football Factory at Upper 90,Bar,Boerum Hill,Brooklyn,"Boerum Hill, Brooklyn",,"Bar in Boerum Hill, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/football-factory-upper-90
Fornos of Spain,Restaurant,Ironbound,Newark,"Ironbound, Newark",Spain; Portugal,"Restaurant in Ironbound, Newark; listed as a World Cup watch venue for fans of Spain; Portugal.",https://watchworldcup.nyc/venues/fornos-of-spain
Franklin Park,Beer Garden,Crown Heights,Brooklyn,"Crown Heights, Brooklyn",,"Beer Garden in Crown Heights, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/franklin-park
Generator World Cup Viewing,Pop-Up,Times Square,Manhattan,"Times Square, Manhattan",,"Pop-Up in Times Square, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/generator-world-cup-viewing
George Keeley,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",United States,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/george-keeley
German House of Soccer (DFB),Cultural Center,Chelsea,Manhattan,"Chelsea, Manhattan",Germany,"Cultural Center in Chelsea, Manhattan; listed as a World Cup watch venue for fans of Germany.",https://watchworldcup.nyc/venues/german-house-of-soccer
Graffito Bar NYC,Bar,Lower East Side,Manhattan,"Lower East Side, Manhattan",,"Bar in Lower East Side, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/graffito-bar-nyc
Grand Street Social,Bar,SoHo,Manhattan,"SoHo, Manhattan",England; United States,"Bar in SoHo, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/grand-street-social
